comment
Emotions ll lead to brutality 😢😢😢😢😢😢😢
E sala death namdu😢
Only one city manages crowded and this is our Mumbai❤
In Tamil Nadu  airshow   killed  people  6 months  before    sudslun      cm  function  👌    same   type of mis administrator  in karnataka
My wife is a bengaluru girl to kya kuch bhi karoge desh hi kharid lonna
Management was shit
you brainless idiots its not even a world cup victory..its just money spinning domestic cricket... fool people nothing to celebrate this idiots ..its just a local game....
"What a shame ! 
celebration countinue even after loss of lives."
"Total 20+ dead. 
Am from banglore shivaji nagar"
Black day for us RCB👎syed Punjab jiti hoti 🏆to ye sab na hota 😢
Yahi befkufi hai desh me😂😂world cup jeet k aye hai kya 😂
Pm. Mody.  Ipl.  Finnel. Ka. Jasn manaya.  Ahmedabad kya. Ye.  Thik. Hai. Sunakji.  Ko.  Bulaga.  Pahelgauv.  Ka. Dukh ki.  Aag.  To buji.  Nahi.  Or.  Gujarat.  Me.  Jasn
Stop god like treatment to these fckin cricketers
kohali speak kannada
😂😂😂😂
I am seeing many girls in that crowd surrounded by strange men and they are being crushed and there is not even an inch gap between those girls and the men surrounding them. Do you feel ok for keeping your girl in such a situation? My question is why are men keeping their lovers or wives or girlfriends in such an atmosphere? For girls Is it really worth it to see a trophy while being rubbed by somany unknown men? Have some sense.
Ours fans are crazy really Dnt know to differentiate reality simply a name for the players now
"my message to those die hart rcb fans
tujhe kya mila??🤣🤣
kyu itna pagal h kisi specific team k lie?(m kisi bhi team ka fan ni hu)
As i know vo mota paisa kma re h hum jaiso ka time waste krke!"
Jokers rcb fans....
"Yeh gadhey uncivilized log, apne idol ko hi kuchal denge 😂"
"Fans❌
Uncivilized people✅"
This much support didnt happen when our brave countrymen men were martyred during Operation Sindoor. They were able to win the trophy because our brave jawans protected the country. Sad we live in a country who dont understand such sacrifices. These players make so much money that a martyred jawan cannot even dream. Wish civic sense prevailed.
IpL😂
This is the reason i never argue with rcb fans
Tournament is nothing. Lives matter. 10 lakh is nothing for rcb. Make it 10cr
Country wants WADA implementation in all IPL ISL match immediately
"NOT FANS THE GREATEST FOOLS Wheather THAT IS PEOPLE, MANAGEMENT OR PLAYERS."
"Worst fanbase, worst ipl team, they have taken many people lives😢, e sala cup namde hi thik tha."
Shame ...
Mental peoples
IPL should be banned #BANIPL
Uneducated people shame on these uneducated blind fans
If you chant kohli obviously you will cry he is a mess............
Khangreess govt failure
"Lafandar team ke lafandar fans 
Kohli ne hi ipl trophy ko world cup se jyada twajjo di hai.
Itna to world cup harne pe bhi ni roya tha jitna ipl jeetne pe roke dikhara.
Faltu ka agression hi aata hai bs
Aise hi uske fans nikle
Ek trophy jeetne pe hi pajame se bahr nikle jare
Ab bhi to baitenge shanti me
Aaye bade victory parade nikalne vale
Jo 5-5 trophy liye baithe vo to shanti me hai aur ye ek jeetne pe marne pe utaru hai"
they played and they won. what these mindless people are gonna get? fools.. An Indian is an Indian no matter how educated they are..
Telangana Police under congress government  Arrested Hero Allu arjun when 1 fan dead in stampede at theatre. lets see what arnataka going to do . What action they are going to take on responsible people
is this really required for people..?  unemployment... low civic sense is the main reason..
"People seeing the unknown victory and become mindless.

Unstable people unconscious mind"
Ban IPL Ban IPL
Biggest fanbase
Bengaluru police Joker 🤡
Chokli saved the world by winning pre fixed tournament😢😢
"Congress Party Gala Celebration of 2 year rule in Karnataka attended by Rahul Gandhi CONTINUED in spite of 7 deaths in the rains in Bangalore 2 weeks ago .


Congress Party Celebration
of RCB win in IPL CONTINUED inside Chinnaswamy Stadium in spite of 11 deaths in the stampede ."
"Shame siddu was celebrating fraud ipl like war won same time people were dying outside stadium, shame is koli know kanada shame frauds.."
